target_id	length	eff_length	est_counts	tpm
ENST00000390477.2	720	446	701	26.2691
ENST00000611116.2	978	704	4513	107.141
ENST00000633705.1	760	486	2208.75	75.9578
ENST00000632136.1	760	486	993.515	34.1664
ENST00000622053.4	755	481	3398.11	118.074
ENST00000436911.6	1013	739	649.45	14.688
ENST00000443402.6	2730	2456	203.711	1.38627
ENST00000466254.1	758	484	484.622	16.7347
ENST00000390473.1	51	4.41398	0	0
ENST00000390484.1	60	4.5656	0	0
ENST00000390488.1	56	4.49681	0	0
ENST00000390476.1	59	4.54818	0	0
ENST00000390489.1	63	4.61873	0	0
ENST00000390480.2	54	4.46327	0	0
ENST00000390479.2	60	4.5656	0	0
ENST00000390481.1	63	4.61873	0	0
ENST00000390474.1	48	4.36587	0	0
ENST00000390490.1	57	4.5138	0	0
ENST00000390475.1	54	4.46327	0	0
ENST00000390483.1	62	4.60087	0	0
ENST00000390485.1	66	4.67324	0	0
ENST00000390492.1	66	4.67324	0	0
ENST00000390486.1	69	4.72919	0	0
ENST00000390482.1	63	4.61873	0	0
ENST00000390487.1	60	4.5656	0	0
ENST00000390491.1	63	4.61873	0	0
ENST00000390493.1	63	4.61873	0	0
ENST00000390494.1	54	4.46327	0	0
ENST00000390495.1	66	4.67324	0	0
ENST00000390496.1	62	4.60087	0	0
ENST00000390497.1	61	4.58316	0	0
ENST00000390498.1	63	4.61873	0	0
ENST00000612375.1	65	4.65491	0	0
ENST00000614481.1	58	4.53092	0	0
ENST00000390502.1	59	4.54818	0	0
ENST00000390503.1	58	4.53092	0	0
ENST00000390504.1	57	4.5138	0	0
ENST00000390505.1	66	4.67324	0	0
ENST00000390506.1	57	4.5138	0	0
ENST00000390507.1	57	4.5138	0	0
ENST00000390508.1	60	4.5656	0	0
ENST00000390509.1	66	4.67324	0	0
ENST00000390510.1	59	4.54818	0	0
ENST00000390511.1	60	4.5656	0	0
ENST00000390512.2	60	4.5656	0	0
ENST00000390513.1	63	4.61873	0	0
ENST00000390514.1	63	4.61873	0	0
ENST00000390515.1	63	4.61873	0	0
ENST00000390516.1	55	4.47997	0	0
ENST00000390517.1	57	4.5138	0	0
ENST00000390518.1	60	4.5656	0	0
ENST00000390519.1	66	4.67324	0	0
ENST00000390520.1	63	4.61873	0	0
ENST00000390521.1	60	4.5656	0	0
ENST00000390523.1	52	4.43028	0	0
ENST00000390524.1	63	4.61873	0	0
ENST00000390525.1	60	4.5656	0	0
ENST00000390526.1	60	4.5656	0	0
ENST00000390527.1	64	4.63674	0	0
ENST00000390528.1	61	4.58316	0	0
ENST00000390530.1	59	4.54818	0	0
ENST00000390531.1	62	4.60087	0	0
ENST00000390532.1	60	4.5656	0	0
ENST00000390533.1	63	4.61873	0	0
ENST00000390534.1	62	4.60087	0	0
ENST00000390535.2	66	4.67324	0	0
ENST00000390536.2	62	4.60087	0	0
ENST00000390499.1	62	4.60087	0	0
ENST00000632951.1	48	4.36587	0	0
ENST00000633553.1	48	4.36587	0	0
ENST00000633780.1	50	4.39782	0	0
ENST00000632041.1	51	4.41398	0	0
ENST00000634000.1	50	4.39782	0	0
ENST00000633713.1	53	4.44671	0	0
ENST00000390412.1	50	4.39782	0	0
ENST00000390413.1	51	4.41398	0	0
ENST00000390414.1	46	4.33443	0	0
ENST00000390415.1	49	4.38178	0	0
ENST00000390416.1	50	4.39782	0	0
ENST00000390417.1	48	4.36587	0	0
ENST00000390418.1	53	4.44671	0	0
ENST00000390419.1	47	4.35009	0	0
ENST00000633209.1	46	4.33443	0	0
ENST00000632228.1	53	4.44671	0	0
ENST00000633507.1	50	4.39782	0	0
ENST00000631600.1	50	4.39782	0	0
ENST00000633891.1	51	4.41398	0	0
ENST00000633188.1	51	4.41398	0	0
ENST00000632996.1	53	4.44671	0	0
ENST00000633660.1	47	4.35009	0	0
ENST00000633936.1	50	4.39782	0	0
ENST00000634213.1	48	4.36587	0	0
ENST00000631840.1	49	4.38178	0	0
ENST00000634149.1	48	4.36587	0	0
ENST00000631745.1	48	4.36587	0	0
ENST00000633836.1	50	4.39782	0	0
ENST00000390333.1	50	4.39782	0	0
ENST00000390334.1	60	4.5656	0	0
ENST00000390337.1	50	4.39782	0	0
ENST00000390338.2	61	4.58316	0	0
ENST00000390339.1	60	4.5656	0	0
ENST00000622028.1	353	79.3918	0	0
ENST00000604066.1	353	79.3918	45.9486	9.67293
ENST00000390609.3	432	158	1494.53	158.092
ENST00000390616.2	400	126.002	0	0
ENST00000390618.2	426	152	8.03037	0.882985
ENST00000390612.3	425	151	13.8027	1.52773
ENST00000390607.2	430	156	0	0
ENST00000632099.1	353	79.3918	20.436	4.30211
ENST00000390617.2	366	92.1144	16	2.90305
ENST00000390603.2	437	163	0	0
ENST00000390606.3	415	141	145.666	17.2664
ENST00000390610.2	411	137	0	0
ENST00000390615.2	431	157	1141.08	121.473
ENST00000603660.1	431	157	51.5465	5.48733
ENST00000632950.2	410	136	3.82115	0.469586
ENST00000390611.2	381	107.022	0	0
ENST00000390605.2	410	136	0	0
ENST00000438142.3	428	154	45.7916	4.96966
ENST00000390602.3	430	156	29.5035	3.1609
ENST00000390604.2	425	151	0.5	0.0553419
ENST00000390601.3	473	199	236.295	19.8456
ENST00000390282.2	419	145	176	20.2864
ENST00000390287.2	365	91.1266	910	166.901
ENST00000390283.2	414	140	1102	131.557
ENST00000390284.2	362	88.1704	66	12.5107
ENST00000390285.4	353	79.3918	185	38.9455
ENST00000390286.3	381	107.022	0	0
ENST00000390289.2	379	105.028	69	10.9801
ENST00000390290.3	389	115.008	4023.35	584.683
ENST00000390291.2	405	131.001	3.11842	0.397852
ENST00000427632.2	409	135.001	15	1.85702
ENST00000390293.1	369	95.0839	2.16151	0.379938
ENST00000390294.2	407	133.001	1657.57	208.295
ENST00000390295.3	385	111.014	270.697	40.7539
ENST00000390296.2	397	123.003	36.3658	4.94128
ENST00000390297.3	467	193	2197.6	190.306
ENST00000390298.2	385	111.014	343.151	51.662
ENST00000390299.2	407	133.001	955.857	120.116
ENST00000390300.2	374	100.049	4.98962	0.83352
