target_id	length	eff_length	est_counts	tpm
ENST00000390477.2	720	446	407	29.6749
ENST00000611116.2	978	704	3693	170.583
ENST00000633705.1	760	486	997.415	66.7374
ENST00000632136.1	760	486	997.415	66.7374
ENST00000622053.4	755	481	3460.42	233.945
ENST00000436911.6	1013	739	461.932	20.3265
ENST00000443402.6	2730	2456	128.483	1.70116
ENST00000466254.1	758	484	1617.75	108.691
ENST00000390473.1	51	4.41398	0	0
ENST00000390484.1	60	4.5656	0	0
ENST00000390488.1	56	4.49681	0	0
ENST00000390476.1	59	4.54818	0	0
ENST00000390489.1	63	4.61873	0	0
ENST00000390480.2	54	4.46327	0	0
ENST00000390479.2	60	4.5656	0	0
ENST00000390481.1	63	4.61873	0	0
ENST00000390474.1	48	4.36587	0	0
ENST00000390490.1	57	4.5138	0	0
ENST00000390475.1	54	4.46327	0	0
ENST00000390483.1	62	4.60087	0	0
ENST00000390485.1	66	4.67324	0	0
ENST00000390492.1	66	4.67324	0	0
ENST00000390486.1	69	4.72919	0	0
ENST00000390482.1	63	4.61873	0	0
ENST00000390487.1	60	4.5656	0	0
ENST00000390491.1	63	4.61873	0	0
ENST00000390493.1	63	4.61873	0	0
ENST00000390494.1	54	4.46327	0	0
ENST00000390495.1	66	4.67324	0	0
ENST00000390496.1	62	4.60087	0	0
ENST00000390497.1	61	4.58316	0	0
ENST00000390498.1	63	4.61873	0	0
ENST00000612375.1	65	4.65491	0	0
ENST00000614481.1	58	4.53092	0	0
ENST00000390502.1	59	4.54818	0	0
ENST00000390503.1	58	4.53092	0	0
ENST00000390504.1	57	4.5138	0	0
ENST00000390505.1	66	4.67324	0	0
ENST00000390506.1	57	4.5138	0	0
ENST00000390507.1	57	4.5138	0	0
ENST00000390508.1	60	4.5656	0	0
ENST00000390509.1	66	4.67324	0	0
ENST00000390510.1	59	4.54818	0	0
ENST00000390511.1	60	4.5656	0	0
ENST00000390512.2	60	4.5656	0	0
ENST00000390513.1	63	4.61873	0	0
ENST00000390514.1	63	4.61873	0	0
ENST00000390515.1	63	4.61873	0	0
ENST00000390516.1	55	4.47997	0	0
ENST00000390517.1	57	4.5138	0	0
ENST00000390518.1	60	4.5656	0	0
ENST00000390519.1	66	4.67324	0	0
ENST00000390520.1	63	4.61873	0	0
ENST00000390521.1	60	4.5656	0	0
ENST00000390523.1	52	4.43028	0	0
ENST00000390524.1	63	4.61873	0	0
ENST00000390525.1	60	4.5656	0	0
ENST00000390526.1	60	4.5656	0	0
